team,year,rank,points
Iowa State,2008,59,155.21
Kentucky,2008,60,153.99
Utah,2008,61,152.27
Wake Forest,2008,62,150.75
Middle Tennessee,2008,63,149.84
Marshall,2008,64,147.08
Memphis,2008,65,146.77
Washington State,2008,66,146.27
Duke,2008,67,145.79
Indiana,2008,68,145.51
Troy,2008,69,144.61
Fresno State,2008,70,143.22
Northwestern,2008,71,141.43
Tulsa,2008,72,137.2
Hawai'i,2008,73,134.54
TCU,2008,74,133.71
Texas Tech,2008,75,131.78
Vanderbilt,2008,76,130.16
Houston,2008,77,129.82
Temple,2008,78,128.86
Toledo,2008,79,128.48
South Florida,2008,80,128.07
Connecticut,2008,81,124.74
Louisiana Tech,2008,82,124.43
San Diego State,2008,83,123.85
Florida International,2008,84,123.67
SMU,2008,85,123.62
East Carolina,2008,86,119.53
Boise State,2008,87,118.14
Ohio,2008,88,117.01
Western Michigan,2008,89,116.96
Louisiana Monroe,2008,90,116.95
Colorado State,2008,91,114.44
Rice,2008,92,113.79
Nevada,2008,93,113.23
Kent State,2008,94,112.84
Wyoming,2008,95,110.78
New Mexico,2008,96,109.8
Akron,2008,97,106.94
UAB,2008,98,105.82
Miami (OH),2008,99,105.2
UNLV,2008,100,104.57
Central Michigan,2008,101,100.63
Tulane,2008,102,97.06
New Mexico State,2008,103,92.38
Cincinnati,2008,104,90.28
Arkansas State,2008,105,85.47
Ball State,2008,106,85.39
Idaho,2008,107,83.12
Louisiana,2008,108,82.66
San José State,2008,109,77.78
Eastern Michigan,2008,110,77.66
Utah State,2008,111,76.17
Bowling Green,2008,112,71.09
Navy,2008,113,67.88
Buffalo,2008,114,65.34
Northern Illinois,2008,115,64.56
Army,2008,116,57.21
Air Force,2008,117,23.97
Princeton,2008,118,4.44
LSU,2009,1,293.15
USC,2009,2,289.28
Alabama,2009,3,288.63
Georgia,2009,4,283.72
Ohio State,2009,5,281.93
Texas,2009,6,277.12
Florida,2009,7,270.42
Tennessee,2009,8,264.62
Oklahoma,2009,9,262.78
Michigan,2009,10,262.72
Florida State,2009,11,259.63
North Carolina,2009,12,258.85
UCLA,2009,13,258.45
South Carolina,2009,14,257.08
Notre Dame,2009,15,246.29
Miami,2009,16,242.24
Ole Miss,2009,17,240.24
Mississippi State,2009,18,233.49
Penn State,2009,19,233.47
Arkansas,2009,20,232.93
Stanford,2009,21,232.43
Michigan State,2009,22,229.62
Auburn,2009,23,226.93
West Virginia,2009,24,225.23
Virginia Tech,2009,25,224.32
South Florida,2009,26,222.52
Texas A&M,2009,27,219.98
Illinois,2009,28,214.15
Rutgers,2009,29,214.01
Oregon,2009,30,212.76
Maryland,2009,31,211.59
Arizona State,2009,32,211.24
Virginia,2009,33,210.97
Oklahoma State,2009,34,209.57
Minnesota,2009,35,209.2
Clemson,2009,36,207.86
California,2009,37,206.98
Missouri,2009,38,206.45
Texas Tech,2009,39,206.43
Nebraska,2009,40,201.57
Georgia Tech,2009,41,201.51
Wisconsin,2009,42,199.62
Pittsburgh,2009,43,197.86
TCU,2009,44,196.02
Kansas,2009,45,195.98
Utah,2009,46,195.36
Kentucky,2009,47,193.54
NC State,2009,48,192.15
Colorado,2009,49,188.77
Arizona,2009,50,184.83
Oregon State,2009,51,184.11
Southern Mississippi,2009,52,183.5
Baylor,2009,53,183.32
Duke,2009,54,181.94
BYU,2009,55,181.77
Cincinnati,2009,56,176.05
Louisville,2009,57,174.46
Tulsa,2009,58,174.21
Troy,2009,59,172.43
Vanderbilt,2009,60,169.67
Northwestern,2009,61,169.62
Wake Forest,2009,62,167.36
Washington State,2009,63,166.89
Iowa,2009,64,165.44
Boston College,2009,65,164.59
Indiana,2009,66,163.75
UCF,2009,67,163.27
Houston,2009,68,162.28
Boise State,2009,69,161.31
Kansas State,2009,70,160.93
Purdue,2009,71,160.65
Iowa State,2009,72,159.69
SMU,2009,73,159.25
Louisiana Tech,2009,74,155.85
Washington,2009,75,154.97
Central Michigan,2009,76,154.04
Florida International,2009,77,152.22
Hawai'i,2009,78,151.83
Tulane,2009,79,150.56
UAB,2009,80,149.82
Connecticut,2009,81,142.56
Middle Tennessee,2009,82,135.97
Rice,2009,83,133.54
UNLV,2009,84,132.75
San Diego State,2009,85,131.67
Toledo,2009,86,131.44
Fresno State,2009,87,130.4
Memphis,2009,88,130.01
Miami (OH),2009,89,129.69
Bowling Green,2009,90,129.11
Marshall,2009,91,128.95
Syracuse,2009,92,128.0
Kent State,2009,93,125.9
Colorado State,2009,94,125.17
Akron,2009,95,124.68
Wyoming,2009,96,124.54
East Carolina,2009,97,124.38
Western Michigan,2009,98,123.17
Nevada,2009,99,120.06
North Texas,2009,100,116.92
Louisiana Monroe,2009,101,116.77
Northern Illinois,2009,102,114.72
Ohio,2009,103,105.11
Eastern Michigan,2009,104,102.1
Air Force,2009,105,95.62
New Mexico,2009,106,95.54
New Mexico State,2009,107,91.92
Buffalo,2009,108,90.58
Utah State,2009,109,84.41
Temple,2009,110,82.03
Arkansas State,2009,111,80.06
Idaho,2009,112,78.81
Louisiana,2009,113,77.11
Army,2009,114,68.46
Navy,2009,115,19.31
Illinois State,2009,116,18.75
Alabama State,2009,117,6.67
San José State,2009,118,0.0
Florida,2010,1,324.62
Texas,2010,2,312.07
USC,2010,3,294.73
Alabama,2010,4,284.2
Oklahoma,2010,5,283.58
Auburn,2010,6,277.2
Tennessee,2010,7,271.56
Florida State,2010,8,271.41
LSU,2010,9,267.84
UCLA,2010,10,263.81
Georgia,2010,11,259.87
Oregon,2010,12,250.88
Penn State,2010,13,249.63
Miami,2010,14,249.55
Notre Dame,2010,15,241.92
Texas A&M,2010,16,240.98
Michigan,2010,17,237.54
Ohio State,2010,18,237.38
Washington,2010,19,234.35
California,2010,20,233.8
Missouri,2010,21,229.0
Michigan State,2010,22,225.56
North Carolina,2010,23,224.64
Ole Miss,2010,24,223.7
Stanford,2010,25,223.33
Nebraska,2010,26,219.7
Clemson,2010,27,218.08
Virginia Tech,2010,28,214.01
Oklahoma State,2010,29,213.1
Mississippi State,2010,30,212.47
Pittsburgh,2010,31,212.43
West Virginia,2010,32,211.69
BYU,2010,33,211.56
South Carolina,2010,34,210.39
NC State,2010,35,208.25
Iowa,2010,36,208.14
Texas Tech,2010,37,207.32
Baylor,2010,38,206.15
Maryland,2010,39,205.67
Arizona State,2010,40,203.28
Arkansas,2010,41,203.21
Utah,2010,42,202.2
Georgia Tech,2010,43,201.21
Louisville,2010,44,197.18
Boston College,2010,45,196.9
Wisconsin,2010,46,194.33
TCU,2010,47,192.08
Southern Mississippi,2010,48,191.15
Kentucky,2010,49,190.83
UCF,2010,50,189.21
Vanderbilt,2010,51,188.39
Minnesota,2010,52,186.47
Purdue,2010,53,186.34
Rutgers,2010,54,186.09
Houston,2010,55,185.42
Cincinnati,2010,56,184.21
Colorado,2010,57,183.91
Arizona,2010,58,183.75
South Florida,2010,59,182.46
Syracuse,2010,60,180.14
Illinois,2010,61,180.07
Oregon State,2010,62,178.62
Wake Forest,2010,63,178.48
Kansas,2010,64,177.9
Washington State,2010,65,177.38
SMU,2010,66,177.12
Northwestern,2010,67,176.85
Iowa State,2010,68,175.2
Fresno State,2010,69,175.17
Colorado State,2010,70,172.59
Memphis,2010,71,172.54
Tulsa,2010,72,172.19
Duke,2010,73,171.81
Virginia,2010,74,170.27
San Diego State,2010,75,165.98
Kansas State,2010,76,164.45
Indiana,2010,77,164.39
Marshall,2010,78,164.29
New Mexico,2010,79,157.08
Hawai'i,2010,80,155.71
Louisiana Tech,2010,81,154.22
Florida International,2010,82,153.54
East Carolina,2010,83,152.95
Connecticut,2010,84,151.1
UTEP,2010,85,150.87
UAB,2010,86,150.49
Toledo,2010,87,149.24
Western Michigan,2010,88,146.63
Bowling Green,2010,89,146.16
Tulane,2010,90,145.27
Nevada,2010,91,144.64
Rice,2010,92,144.16
Ball State,2010,93,142.28
Arkansas State,2010,94,142.14
Temple,2010,95,141.31
San José State,2010,96,140.49
Idaho,2010,97,140.01
Northern Illinois,2010,98,139.25
Wyoming,2010,99,138.94
Miami (OH),2010,100,138.32
Kent State,2010,101,138.28
Akron,2010,102,136.89
UNLV,2010,103,136.45
New Mexico State,2010,104,132.06
Utah State,2010,105,127.94
Central Michigan,2010,106,127.67
Western Kentucky,2010,107,126.31
Buffalo,2010,108,125.67
Troy,2010,109,117.28
Boise State,2010,110,115.97
Eastern Michigan,2010,111,110.9
Ohio,2010,112,101.59
Army,2010,113,99.95
Middle Tennessee,2010,114,88.46
Louisiana,2010,115,86.44
Louisiana Monroe,2010,116,85.12
North Texas,2010,117,83.28
Florida Atlantic,2010,118,66.11
Navy,2010,119,38.65
Air Force,2010,120,26.17
Georgia Southern,2010,121,13.33
Norfolk State,2010,122,6.67
New Hampshire,2010,123,6.67
Georgia State,2010,125,0.0
Alabama,2011,1,298.5
Florida State,2011,2,297.03
USC,2011,3,286.99
Texas,2011,4,284.05
Auburn,2011,5,281.02
Ohio State,2011,6,278.47
Georgia,2011,7,278.18
LSU,2011,8,272.65
Notre Dame,2011,9,271.38
Clemson,2011,10,269.69
Florida,2011,11,258.24
Oregon,2011,12,257.09
Oklahoma,2011,13,256.79
Tennessee,2011,14,253.78
California,2011,15,249.7
Nebraska,2011,16,245.6
South Carolina,2011,17,244.09
North Carolina,2011,18,230.93
Texas Tech,2011,19,230.54
Ole Miss,2011,20,226.45
Arkansas,2011,21,226.22
Stanford,2011,22,221.85
Virginia,2011,23,220.78
Washington,2011,24,219.9
Oklahoma State,2011,25,212.82
Iowa,2011,26,208.64
Louisville,2011,27,208.34
TCU,2011,28,207.48
Rutgers,2011,29,205.88
Michigan,2011,30,205.16
Penn State,2011,31,201.4
Michigan State,2011,32,198.83
Miami,2011,33,198.68
Texas A&M,2011,34,193.44
Virginia Tech,2011,35,190.02
Kentucky,2011,36,184.89
Illinois,2011,37,183.92
Utah,2011,38,182.11
Boston College,2011,39,180.89
Kansas,2011,40,178.77
Mississippi State,2011,41,178.1
Oregon State,2011,42,175.84
Georgia Tech,2011,43,174.84
Wisconsin,2011,44,174.08
UCLA,2011,45,172.23
Baylor,2011,46,169.94
Cincinnati,2011,47,168.77
Arizona,2011,48,166.94
Vanderbilt,2011,49,164.0
Maryland,2011,50,162.97
Kansas State,2011,51,161.75
West Virginia,2011,52,160.31
Boise State,2011,53,159.98
UCF,2011,54,158.74
Indiana,2011,55,158.62
Missouri,2011,56,158.06
Minnesota,2011,57,157.15
Syracuse,2011,58,155.37
Iowa State,2011,59,153.86
Marshall,2011,60,152.84
Northwestern,2011,61,150.59
Pittsburgh,2011,62,150.28
Duke,2011,63,149.33
Colorado,2011,64,147.7
Arizona State,2011,65,146.68
Wake Forest,2011,66,144.89
SMU,2011,67,144.59
Washington State,2011,68,144.31
BYU,2011,69,143.97
South Florida,2011,70,143.19
NC State,2011,71,139.33
East Carolina,2011,72,138.07
Houston,2011,73,133.64
Toledo,2011,74,132.9
Purdue,2011,75,129.88
Colorado State,2011,76,122.79
Memphis,2011,77,122.48
San Diego State,2011,78,118.44
Connecticut,2011,79,117.6
Tulsa,2011,80,113.38
Tulane,2011,81,110.8
Western Michigan,2011,82,94.12
Temple,2011,83,93.88
Louisiana,2011,84,91.52
Western Kentucky,2011,85,85.81
Southern Mississippi,2011,86,83.64
Navy,2011,87,81.56
Army,2011,88,77.89
Air Force,2011,89,77.86
Bowling Green,2011,90,77.59
South Alabama,2011,91,76.36
Florida International,2011,92,76.24
Central Michigan,2011,93,75.64
Hawai'i,2011,94,73.77
Northern Illinois,2011,95,67.82
Ohio,2011,96,67.8
Rice,2011,97,67.71
Fresno State,2011,98,67.3
Middle Tennessee,2011,99,66.67
Buffalo,2011,100,61.88
UAB,2011,101,61.54
Ball State,2011,102,60.53
Florida Atlantic,2011,103,60.49
Wyoming,2011,104,59.82
New Mexico,2011,105,57.85
Louisiana Monroe,2011,106,57.72
Miami (OH),2011,107,57.32
Utah State,2011,108,56.53
North Texas,2011,109,55.16
UNLV,2011,110,53.88
Eastern Michigan,2011,111,53.69
Troy,2011,112,51.83
Louisiana Tech,2011,113,51.59
Akron,2011,114,50.3
Nevada,2011,115,50.28
San José State,2011,116,48.83
Idaho,2011,117,48.78
Arkansas State,2011,118,48.25
Kent State,2011,119,45.57
UTEP,2011,120,35.04
New Mexico State,2011,121,30.13
Northern Iowa,2011,122,28.92
Villanova,2011,123,24.24
South Carolina State,2011,124,18.1
Liberty,2011,125,13.33
Harvard,2011,126,13.29
Texas State,2011,127,12.55
Holy Cross,2011,128,11.46
Old Dominion,2011,129,8.32
UMass,2011,130,6.67
UT San Antonio,2011,131,6.67
Bethune-Cookman,2011,132,5.99
Appalachian State,2011,133,4.32
Western Carolina,2011,134,0.0
Eastern Illinois,2011,135,0.0
North Dakota State,2011,136,0.0
Indiana State,2011,137,0.0
Alabama,2012,1,313.12
Texas,2012,2,300.12
Florida,2012,3,290.27
Florida State,2012,4,290.11
Ohio State,2012,5,286.13
Michigan,2012,6,281.12
Stanford,2012,7,275.98
USC,2012,8,274.18
Georgia,2012,9,273.57
Miami,2012,10,268.93
Auburn,2012,11,261.81
Oklahoma,2012,12,255.08
LSU,2012,13,252.55
Oregon,2012,14,251.25
South Carolina,2012,15,248.77
Texas A&M,2012,16,248.67
Notre Dame,2012,17,248.21
UCLA,2012,18,247.77
Tennessee,2012,19,242.81
Clemson,2012,20,241.73
Virginia Tech,2012,21,231.41
Mississippi State,2012,22,227.14
Rutgers,2012,23,226.24
Washington,2012,24,225.52
Virginia,2012,25,223.88
Baylor,2012,26,222.62
Arkansas,2012,27,222.12
Texas Tech,2012,28,220.7
TCU,2012,29,219.37
California,2012,30,217.88
Oklahoma State,2012,31,213.82
Nebraska,2012,32,213.77
Missouri,2012,33,212.4
Michigan State,2012,34,210.77
West Virginia,2012,35,206.7
Arizona State,2012,36,205.33
Maryland,2012,37,204.96
Utah,2012,38,204.91
Colorado,2012,39,203.71
Iowa,2012,40,201.08
North Carolina,2012,41,199.55
Arizona,2012,42,199.26
Pittsburgh,2012,43,198.81
Oregon State,2012,44,195.63
Louisville,2012,45,194.36
Vanderbilt,2012,46,194.25
Penn State,2012,47,192.63
Ole Miss,2012,48,190.69
Purdue,2012,49,188.27
Kentucky,2012,50,187.81
Cincinnati,2012,51,185.26
NC State,2012,52,183.7
Georgia Tech,2012,53,183.42
South Florida,2012,54,181.93
Northwestern,2012,55,178.76
Houston,2012,56,176.32
Indiana,2012,57,175.53
Washington State,2012,58,173.37
Minnesota,2012,59,171.0
Syracuse,2012,60,170.44
Boise State,2012,61,169.1
Duke,2012,62,165.02
Illinois,2012,63,162.09
Arkansas State,2012,64,162.02
Wisconsin,2012,65,160.75
Wake Forest,2012,66,156.07
Iowa State,2012,67,155.41
Southern Mississippi,2012,68,150.61
Boston College,2012,69,150.03
SMU,2012,70,149.82
BYU,2012,71,148.63
Connecticut,2012,72,143.96
Kansas State,2012,73,139.67
Temple,2012,74,139.63
San Diego State,2012,75,139.37
Toledo,2012,76,138.36
Nevada,2012,77,135.19
Marshall,2012,78,134.93
Florida International,2012,79,134.46
East Carolina,2012,80,133.06
Kansas,2012,81,128.07
Florida Atlantic,2012,82,125.72
Tulane,2012,83,124.65
Hawai'i,2012,84,124.09
Rice,2012,85,123.63
Air Force,2012,86,121.39
Miami (OH),2012,87,121.01
New Mexico State,2012,88,120.43
Tulsa,2012,89,120.37
Central Michigan,2012,90,120.28
Western Michigan,2012,91,120.13
Memphis,2012,92,116.8
Ohio,2012,93,116.72
Bowling Green,2012,94,115.2
New Mexico,2012,95,113.27
UCF,2012,96,113.11
Western Kentucky,2012,97,111.94
Louisiana Tech,2012,98,111.9
Troy,2012,99,111.64
North Texas,2012,100,108.78
UNLV,2012,101,106.3
Kent State,2012,102,105.08
Northern Illinois,2012,103,104.53
San José State,2012,104,103.14
Ball State,2012,105,103.09
UTEP,2012,106,102.75
Louisiana,2012,107,97.59
Eastern Michigan,2012,108,96.95
UAB,2012,109,96.91
Idaho,2012,110,96.07
Utah State,2012,111,96.05
Texas State,2012,112,94.09
South Alabama,2012,113,93.33
Wyoming,2012,114,92.41
Fresno State,2012,115,89.62
Louisiana Monroe,2012,116,89.23
Buffalo,2012,117,89.13
Navy,2012,118,89.01
Middle Tennessee,2012,119,87.49
Colorado State,2012,120,74.75
Akron,2012,121,70.1
UT San Antonio,2012,122,62.13
South Carolina State,2012,123,58.91
James Madison,2012,124,54.11
Appalachian State,2012,125,46.27
Army,2012,126,45.41
Old Dominion,2012,127,40.57
Georgia State,2012,128,28.35
Youngstown State,2012,129,28.33
Portland State,2012,130,26.61
Georgia Southern,2012,131,25.1
Eastern Washington,2012,132,24.65
Bethune-Cookman,2012,133,23.44
Liberty,2012,134,22.63
Gardner-Webb,2012,135,22.12
McNeese,2012,136,21.19
Pennsylvania,2012,137,21.17
UMass,2012,138,19.91
Dartmouth,2012,139,19.37
Charlotte,2012,140,19.34
Tennessee State,2012,141,19.26
Yale,2012,142,18.55
Hampton,2012,143,17.8
Northern Iowa,2012,144,17.64
VMI,2012,146,15.27
Wagner,2012,148,13.76
Montana,2012,149,11.2
Lamar,2012,150,11.11
William & Mary,2012,151,11.07
Towson,2012,152,10.79
Coastal Carolina,2012,153,10.62
Southern Illinois,2012,154,10.61
Western Illinois,2012,155,10.55
Lehigh,2012,156,10.54
Chattanooga,2012,157,10.48
Delaware State,2012,158,10.48
Princeton,2012,159,10.24
Southeast Missouri State,2012,161,9.99
Texas Southern,2012,162,9.93
Monmouth,2012,163,8.39
Weber State,2012,164,7.99
Eastern Kentucky,2012,166,7.49
Montana State,2012,167,7.32
Harvard,2012,169,6.67
North Dakota,2012,170,6.67
Grambling,2012,171,6.67
Elon,2012,172,6.67
Cornell,2012,173,6.67
South Dakota State,2012,174,6.67
Northern Colorado,2012,175,6.67
Southern Utah,2012,176,6.67
Columbia,2012,177,6.67
Idaho State,2012,178,6.5
Norfolk State,2012,179,6.36
Presbyterian College,2012,180,5.98
North Carolina Central,2012,181,4.98
Western Carolina,2012,182,4.98
Richmond,2012,183,4.35
The Citadel,2012,184,4.31
Central Arkansas,2012,186,3.98
Furman,2012,187,3.31
Cal Poly,2012,188,2.98
Delaware,2012,189,0.98
Alabama,2013,1,319.5
Ohio State,2013,2,303.35
Florida,2013,3,291.89
Michigan,2013,4,288.74
Notre Dame,2013,5,284.77
LSU,2013,6,281.05
UCLA,2013,7,276.33
Ole Miss,2013,8,275.52
Texas A&M,2013,9,267.75
Auburn,2013,10,267.46
Florida State,2013,11,262.69
Georgia,2013,12,260.38
USC,2013,13,256.44
Miami,2013,14,249.66
Clemson,2013,15,249.66
Oklahoma,2013,16,241.93
Texas,2013,17,234.52
Washington,2013,18,234.2
Oregon,2013,19,227.16
South Carolina,2013,20,224.01
Virginia Tech,2013,21,223.82
Nebraska,2013,22,220.72
Arkansas,2013,23,216.6
Mississippi State,2013,24,214.76
Tennessee,2013,25,214.06
Vanderbilt,2013,26,211.23
Baylor,2013,27,209.23
North Carolina,2013,28,206.42
Virginia,2013,29,201.88
West Virginia,2013,30,201.03
Oklahoma State,2013,31,199.52
Pittsburgh,2013,32,196.04
Penn State,2013,33,195.7
Kentucky,2013,34,195.55
TCU,2013,35,194.83
Louisville,2013,36,194.03
Michigan State,2013,37,193.96
Maryland,2013,38,193.11
Arizona State,2013,39,192.78
Wisconsin,2013,40,191.08
California,2013,41,190.85
Indiana,2013,42,190.33
Missouri,2013,43,189.91
Arizona,2013,44,188.91
Oregon State,2013,45,186.6
Texas Tech,2013,46,182.16
Utah,2013,47,181.27
Rutgers,2013,48,180.79
Kansas,2013,49,180.28
Washington State,2013,50,177.9
Illinois,2013,51,176.35
Stanford,2013,52,175.38
Northwestern,2013,53,174.64
South Florida,2013,54,173.74
Boise State,2013,55,173.51
Iowa,2013,56,171.96
Houston,2013,57,171.4
Marshall,2013,58,170.81
NC State,2013,59,166.04
Cincinnati,2013,60,162.33
Purdue,2013,61,162.05
Connecticut,2013,62,160.61
Iowa State,2013,63,159.52
Kansas State,2013,64,158.71
Wake Forest,2013,65,153.0
BYU,2013,66,152.55
Minnesota,2013,67,152.11
Colorado,2013,68,151.29
San Diego State,2013,69,151.17
Georgia Tech,2013,70,149.34
Duke,2013,71,148.96
SMU,2013,72,148.4
East Carolina,2013,73,146.66
Syracuse,2013,74,144.37
Fresno State,2013,75,142.76
Toledo,2013,76,141.96
Temple,2013,77,140.29
Hawai'i,2013,78,139.5
UCF,2013,79,139.32
Louisiana,2013,80,138.35
Tulsa,2013,81,138.11
Southern Mississippi,2013,82,136.46
Tulane,2013,83,133.37
Colorado State,2013,84,132.61
Bowling Green,2013,85,131.36
Boston College,2013,86,126.19
Middle Tennessee,2013,87,125.23
Nevada,2013,88,124.94
Louisiana Tech,2013,89,124.51
Memphis,2013,90,123.56
Rice,2013,91,123.22
South Alabama,2013,92,123.16
New Mexico,2013,93,122.45
Texas State,2013,94,120.48
Western Kentucky,2013,95,120.24
Florida Atlantic,2013,96,119.58
UAB,2013,97,118.27
UNLV,2013,98,117.06
Troy,2013,99,114.51
Arkansas State,2013,100,113.75
UMass,2013,101,112.55
Northern Illinois,2013,102,108.89
UT San Antonio,2013,103,108.72
Central Michigan,2013,104,108.05
Ball State,2013,105,107.69
Miami (OH),2013,106,107.36
Air Force,2013,107,106.74
Western Michigan,2013,108,106.64
Utah State,2013,109,105.41
Wyoming,2013,110,101.61
Georgia State,2013,111,101.05
Charlotte,2013,112,100.75
Eastern Michigan,2013,113,98.58
Florida International,2013,114,98.08
Akron,2013,115,97.64
Navy,2013,116,97.15
Ohio,2013,117,96.79
Kent State,2013,118,95.27
North Texas,2013,119,93.6
New Mexico State,2013,120,92.08
UTEP,2013,121,88.53
Old Dominion,2013,122,87.47
San José State,2013,123,83.62
Idaho,2013,124,80.11
Appalachian State,2013,125,78.64
Louisiana Monroe,2013,126,77.32
Army,2013,127,74.07
Buffalo,2013,128,72.53
Yale,2013,129,70.19
Harvard,2013,130,51.51
South Carolina State,2013,131,50.71
Tennessee Tech,2013,132,47.01
Samford,2013,133,46.1
Jacksonville State,2013,134,42.28
Georgia Southern,2013,135,40.99
Furman,2013,136,37.08
Coastal Carolina,2013,137,35.72
Chattanooga,2013,138,34.29
Pennsylvania,2013,139,34.17
Murray State,2013,140,33.47
Albany,2013,141,32.8
Sacramento State,2013,142,31.16
Tennessee State,2013,143,30.63
Richmond,2013,144,29.99
Central Arkansas,2013,145,28.88
Indiana State,2013,146,28.73
Delaware,2013,147,28.63
Jackson State,2013,148,28.24
Alcorn State,2013,149,26.36
Duquesne,2013,150,25.58
Southern Illinois,2013,151,25.26
Grand Valley State,2013,153,24.73
Eastern Washington,2013,154,23.93
Bethune-Cookman,2013,155,23.74
Villanova,2013,156,22.47
Montana State,2013,157,22.21
Illinois State,2013,158,22.06
Northern Arizona,2013,159,21.71
Southern,2013,160,21.62
The Citadel,2013,161,21.42
Stephen F. Austin,2013,162,21.18
Austin Peay,2013,163,21.02
Sam Houston State,2013,164,20.96
Lehigh,2013,165,20.11
Montana,2013,166,19.94
Stony Brook,2013,167,19.72
Wofford,2013,168,18.4
Southeastern Louisiana,2013,169,17.21
Northern Colorado,2013,170,16.28
McNeese,2013,171,16.23
Florida A&M,2013,172,15.66
Lamar,2013,173,14.99
Jacksonville,2013,174,14.62
VMI,2013,177,13.93
James Madison,2013,178,13.66
Wagner,2013,179,13.06
Houston Christian,2013,180,12.64
Brown,2013,181,11.99
William & Mary,2013,182,11.99
Columbia,2013,184,10.79
South Dakota State,2013,185,10.0
Alabama A&M,2013,186,9.99
Presbyterian College,2013,187,9.99
Towson,2013,188,9.94
Colgate,2013,189,9.83
Youngstown State,2013,192,9.05
UC Davis,2013,193,8.98
UT Martin,2013,194,8.82
Fordham,2013,195,8.51
Alabama State,2013,196,8.12
Stetson,2013,197,7.98
Western Carolina,2013,198,7.83
Bucknell,2013,199,7.79
Maine,2013,200,7.32
Portland State,2013,202,6.81
Weber State,2013,203,6.67
Northern Iowa,2013,204,6.67
Grambling,2013,205,6.67
Western Illinois,2013,206,6.67
Southeast Missouri State,2013,207,6.67
North Dakota,2013,208,6.67
South Dakota,2013,209,6.67
Gardner-Webb,2013,210,5.98
Texas Southern,2013,212,3.33
Dartmouth,2013,213,3.31
Elon,2013,214,1.97
Rhode Island,2013,215,0.0
Robert Morris,2013,216,0.0
Georgetown,2013,217,0.0
North Dakota State,2013,218,0.0
Alabama,2014,1,319.71
LSU,2014,2,299.29
Ohio State,2014,3,296.08
Florida State,2014,4,286.79
Texas A&M,2014,5,278.08
Auburn,2014,6,277.12
Tennessee,2014,7,274.77
Georgia,2014,8,273.39
Florida,2014,9,267.4
USC,2014,10,264.86
Notre Dame,2014,11,260.44
Miami,2014,12,256.08
Stanford,2014,13,250.05
Oklahoma,2014,14,248.94
Ole Miss,2014,15,241.12
Clemson,2014,16,240.73
Texas,2014,17,239.85
UCLA,2014,18,239.74
South Carolina,2014,19,239.33
Michigan,2014,20,233.54
Oregon,2014,21,232.44
Kentucky,2014,22,225.4
Arizona State,2014,23,223.19
Penn State,2014,24,221.35
Baylor,2014,25,218.13
Michigan State,2014,26,217.62
Oklahoma State,2014,27,217.59
Virginia Tech,2014,28,217.39
Arkansas,2014,29,215.5
North Carolina,2014,30,213.58
Arizona,2014,31,213.29
Wisconsin,2014,32,205.44
Virginia,2014,33,205.34
NC State,2014,34,201.31
Nebraska,2014,35,200.24
Mississippi State,2014,36,199.92
Missouri,2014,37,198.53
Washington,2014,38,198.52
West Virginia,2014,39,194.85
Texas Tech,2014,40,191.82
Maryland,2014,41,190.98
South Florida,2014,42,189.74
TCU,2014,43,188.64
Pittsburgh,2014,44,187.66
Louisville,2014,45,183.64
Vanderbilt,2014,46,183.05
Northwestern,2014,47,182.68
Indiana,2014,48,180.46
Kansas State,2014,49,178.29
Kansas,2014,50,177.14
Boston College,2014,51,177.12
Syracuse,2014,52,176.87
Washington State,2014,53,176.62
Georgia Tech,2014,54,175.71
California,2014,55,174.52
Rutgers,2014,56,174.14
Minnesota,2014,57,172.32
Iowa,2014,58,171.84
Iowa State,2014,59,171.65
Oregon State,2014,60,166.96
Duke,2014,61,166.35
Marshall,2014,62,165.64
Boise State,2014,63,163.09
BYU,2014,64,161.71
Cincinnati,2014,65,161.43
Utah,2014,66,160.67
Wake Forest,2014,67,160.4
UCF,2014,68,159.55
Temple,2014,69,156.27
Purdue,2014,70,156.02
Western Michigan,2014,71,153.42
Illinois,2014,72,153.35
San Diego State,2014,73,147.92
Colorado,2014,74,147.9
Houston,2014,75,144.26
East Carolina,2014,76,136.87
Old Dominion,2014,77,136.07
Memphis,2014,78,135.91
Tulsa,2014,79,130.3
SMU,2014,80,128.23
Nevada,2014,81,126.15
Southern Mississippi,2014,82,125.74
San José State,2014,83,124.98
Fresno State,2014,84,124.42
Middle Tennessee,2014,85,124.03
Colorado State,2014,86,122.77
Appalachian State,2014,87,121.25
Western Kentucky,2014,88,121.12
Louisiana Tech,2014,89,119.17
Tulane,2014,90,118.86
Rice,2014,91,117.7
Toledo,2014,92,115.38
New Mexico,2014,93,112.56
Florida Atlantic,2014,94,111.77
Arkansas State,2014,95,111.51
Georgia Southern,2014,96,111.25
Texas State,2014,97,109.9
Northern Illinois,2014,98,109.52
Hawai'i,2014,99,108.34
Buffalo,2014,100,108.06
Ball State,2014,101,107.53
Ohio,2014,102,105.12
North Texas,2014,103,105.0
Yale,2014,104,103.87
Georgia State,2014,105,102.91
Bowling Green,2014,106,102.64
Louisiana,2014,107,102.49
Navy,2014,108,101.9
Florida International,2014,109,100.66
Connecticut,2014,110,98.31
Utah State,2014,111,97.8
Air Force,2014,112,97.78
Akron,2014,113,97.33
UAB,2014,114,96.13
